Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
Exide Industries Ltd,EXIDEIND,"Batteries","43583.75","512.75","49.71454806771007"
Tata Elxsi Ltd,TATAELXSI,"Software Services","43238.2209098","6942.95","54.57786363783248"
Ge T&D India Ltd,GET&D,"Heavy Electrical Equipments","42613.82482005","1664.3","235.3704767746479"
AIA Engineering Ltd,AIAENG,"Industrial Machinery","42597.9087031","4516.3","37.51268863212865"
Biocon Ltd,BIOCON,"Biotechnology","42472.57252425","354.75","41.537968238875365"
Deepak Nitrite Ltd,DEEPAKNTR,"Commodity Chemicals","42130.446434490004","3088.9","51.955168867295576"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","42067.805239845","560.45","-35.0565043665375"
Coforge Ltd,COFORGE,"IT Services & Consulting","41924.70925747","6286.15","51.88701640775992"
LIC Housing Finance Ltd,LICHSGFIN,"Home Financing","41670.022565","757.55","8.748747643802082"
Nippon Life India Asset Management Ltd,NAM-INDIA,"Asset Management","41585.8355471","658.25","37.55539098643573"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","40964.01326922","1476.05","55.92814874832089"
Lloyds Metals And Energy Ltd,LLOYDSME,"Mining - Iron Ore","40657.810485635","777.95","32.71126329369718"
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","40570.19118812","1437.7","-27.01671551547279"
Tata Technologies Ltd,TATATECH,"IT Services & Consulting","40380.2454762","995.4","59.43778129178508"
360 One Wam Ltd,360ONE,"Investment Banking & Brokerage","39956.763432235","1099.15","49.684489663439905"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","39492.773779259995","600.65","98.89758790789566"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","39443.206776909996","672.55","76.25559550876748"
IRB Infrastructure Developers Ltd,IRB,"Construction & Engineering","39422.592","65.28","65.07418497548736"
NLC India Ltd,NLCINDIA,"Metals - Diversified","39408.212427779996","284.2","21.254860862411554"
KEI Industries Ltd,KEI,"Cables","39108.38319325","4333.75","67.3423273637944"
Motilal Oswal Financial Services Ltd,MOTILALOFS,"Diversified Financials","39010.82960808","653.4","15.98110231132376"
Mangalore Refinery and Petrochemicals Ltd,MRPL,"Oil & Gas - Refining & Marketing","38776.247941125","221.25","10.78001360590626"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","38129.16126474","505.05","63.667448010853576"
Max Financial Services Ltd,MFSL,"Insurance","38067.884815155","1103.05","111.92815505323556"
Indraprastha Gas Ltd,IGL,"Gas Distribution","37915.543332","541.65","19.10035582221283"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","37828.79636454","306.45","19.573131937630965"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","37288.5825","3394.5","85.73073341763413"
Metro Brands Ltd,METROBRAND,"Footwear","36787.0898661","1352.75","89.17866201086038"
Endurance Technologies Ltd,ENDURANCE,"Auto Parts","36139.09890816","2569.2","53.10668465563542"
Blue Star Ltd,BLUESTARCO,"Home Electronics & Appliances","36111.0971425","1756.25","87.02517687070717"
Emami Ltd,EMAMILTD,"FMCG - Personal Products","35971.965","824.1","49.717309579423095"
BSE Ltd,BSE,"Stock Exchanges & Ratings","35783.356092675","2643.25","45.97098638558433"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","35404.750957999","192.77","17.80511096929231"
Apar Industries Ltd,APARINDS,"Electrical Components & Equipments","35377.44006995","8807.3","42.87550910164583"
Star Health and Allied Insurance Company Ltd,STARHEALTH,"Insurance","35259.5221015","602.2","41.726751282825035"
Sun Tv Network Ltd,SUNTV,"TV Channels & Broadcasters","35077.4720262","890.1","18.22140079384126"
Apollo Tyres Ltd,APOLLOTYRE,"Tires & Rubber","35032.16818136","551.6","20.345538070086977"
Gland Pharma Ltd,GLAND,"Pharmaceuticals","34987.499654895","2123.65","45.29360698922272"
Ajanta Pharma Ltd,AJANTPHARM,"Pharmaceuticals","34881.70364575","2792.5","42.73828203162331"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","34428.043481699","213.71","15.441631300211267"
J K Cement Ltd,JKCEMENT,"Cement","34166.475227179995","4421.8","43.20331199774916"
Aditya Birla Fashion and Retail Ltd,ABFRL,"Retail - Apparel","34086.850686134996","337.35","-54.276696102249964"
Dalmia Bharat Ltd,DALBHARAT,"Cement","34007.073828425","1813.25","41.17079155983656"
Syngene International Ltd,SYNGENE,"Labs & Life Sciences Services","33206.977597","828.5","65.11172077843136"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","33103.32636464","1304.8","60.4792662183977"
Global Health Ltd,MEDANTA,"Hospitals & Diagnostic Centres","32816.4900804","1222","90.92959290773065"
Timken India Ltd,TIMKEN,"Industrial Machinery","32536.99167271","4325.65","82.97289659996427"
Carborundum Universal Ltd,CARBORUNIV,"Industrial Machinery","32521.15970208","1709.05","70.50810793096875"
Motherson Sumi Wiring India Ltd,MSUMI,"Cables","32406.721141559996","73.3","50.77036055390887"
NBCC (India) Ltd,NBCC,"Construction & Engineering","32308.2","179.49","80.45471524267221"
Embassy Office Parks REIT,EMBASSY,"Real Estate","32216.064643341","374.79","33.41811421152974"
Godrej Industries Ltd,GODREJIND,"Diversified Chemicals","32026.652783615","951.05","534.0445686778937"
Tata Investment Corporation Ltd,TATAINVEST,"Asset Management","31775.61672336","6280.35","82.54693386855095"
CRISIL Ltd,CRISIL,"Stock Exchanges & Ratings","31744.118472","4340.8","48.21110271550939"
Go Digit General Insurance Ltd,GODIGIT,"Insurance","31636.550212740003","344.7","174.13336752939236"
One 97 Communications Ltd,PAYTM,"Business Support Services","31613.27816165","496.85","-22.310005759809464"
Bayer Cropscience Ltd,BAYERCROP,"Fertilizers & Agro Chemicals","30950.719918559997","6886.8","41.79705593323431"
Hindustan Copper Ltd,HINDCOPPER,"Mining - Copper","30896.417439","319.5","104.62367491449663"
Delhivery Ltd,DELHIVERY,"Logistics","30089.117560634997","407.05","-120.74769276710538"
TVS Holdings Ltd,TVSHLTD,"Auto Parts","30070.063317140004","13592.35","37.56926413016138"
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","30019.42616928","15826.7","73.85761143875006"
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,"Pharmaceuticals","29685.273407790002","1912.55","53.716362498941486"
