Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Mukta Arts Ltd,MUKTAARTS,Movies & TV Serials,160.4000904,71.02,-24.08409766,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS"
Accel Ltd,ACCEL,Movies & TV Serials,138.57676920699998,24.07,39.93566835936588,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL"
Cinevista Ltd,CINEVISTA,Movies & TV Serials,104.591821,18.21,-13.92700679,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA"
Pritish Nandy Communications Ltd,PNC,Movies & TV Serials,99.431691,68.73,41.08747561983468,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC"
Vels Film International Ltd,VELS,Movies & TV Serials,74.8664,58,-2.055639758,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS"
Baba Arts Ltd,BABA,Movies & TV Serials,68.5125,13.05,34.602272727272705,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA"
Mediaone Global Entertainment Ltd,MEDIAONE,Movies & TV Serials,62.50112,42.46,16.71152941,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE"
Shalimar Productions Ltd,SHALPRO,Movies & TV Serials,57.09104215399999,0.58,815.5863164857147,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO"
Picturehouse Media Ltd,PICTUREHS,Movies & TV Serials,47.59975,9.11,-58.04847561,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS"
Inspire Films Ltd,INSPIRE,Movies & TV Serials,43.5497568,32,16.94543066147858,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE"
Orient Tradelink Ltd,ORIENTTR,Movies & TV Serials,36.15722,14.74,200.87344444444477,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR"
Colorchips New Media Ltd,COLORCHIPS,Movies & TV Serials,32.1827308,18.92,-41.79575429,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR,COLORCHIPS"
VR Films & Studios Ltd,VRFILMS,Movies & TV Serials,27.44,25,-44.98360656,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR,COLORCHIPS,VRFILMS"
Alan Scott Enterprises Ltd,ALAN SCOTT,Movies & TV Serials,24.58052668,67.33,-7.705494258,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR,COLORCHIPS,VRFILMS,ALAN SCOTT"
Unistar Multimedia Ltd,UNISTRMU,Movies & TV Serials,17.4504886,6.98,51.324966470587896,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR,COLORCHIPS,VRFILMS,ALAN SCOTT,UNISTRMU"
Radaan Media Works India Ltd,RADAAN,Movies & TV Serials,13.70286962,2.53,-30.45082138,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR,COLORCHIPS,VRFILMS,ALAN SCOTT,UNISTRMU,RADAAN"
Creative Eye Ltd,CREATIVEYE,Movies & TV Serials,13.2785615,6.62,-5.126857722,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR,COLORCHIPS,VRFILMS,ALAN SCOTT,UNISTRMU,RADAAN,CREATIVEYE"
Vision Corporation Ltd,VISIONCO,Movies & TV Serials,7.6086081,3.81,760.8608099999564,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR,COLORCHIPS,VRFILMS,ALAN SCOTT,UNISTRMU,RADAAN,CREATIVEYE,VISIONCO"
BGIL Films & Technologies Ltd,BGIL,Movies & TV Serials,7.5895121,6.7,-11.49926076,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR,COLORCHIPS,VRFILMS,ALAN SCOTT,UNISTRMU,RADAAN,CREATIVEYE,VISIONCO,BGIL"
Filmcity Media Ltd,FILME,Movies & TV Serials,6.41990349,2.1,64.19903489999994,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML,MUKTAARTS,ACCEL,CINEVISTA,PNC,VELS,BABA,MEDIAONE,SHALPRO,PICTUREHS,INSPIRE,ORIENTTR,COLORCHIPS,VRFILMS,ALAN SCOTT,UNISTRMU,RADAAN,CREATIVEYE,VISIONCO,BGIL,FILME"
