Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,
Bheema Cements Ltd,BHEEMACEM,Cement,95.67774587,29.34,-2.836577108,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM"
Burnpur Cement Ltd,BURNPUR,Cement,73.29183291,8.51,-0.739499878,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM,BURNPUR"
Hemadri Cements Ltd,HEMACEM,Cement,61.82423,92.69,-5.656379689,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM,BURNPUR,HEMACEM"
Binani Industries Ltd,BINANIIND,Cement,51.62872405,16.46,-7.220800566,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM,BURNPUR,HEMACEM,BINANIIND"
SP Refractories Ltd,SPRL,Cement,46.759635,261.3,30.16750645,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM,BURNPUR,HEMACEM,BINANIIND,SPRL"
Oriental Trimex Ltd,ORIENTALTL,Cement,33.96035643,11.55,-5.22467022,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM,BURNPUR,HEMACEM,BINANIIND,SPRL,ORIENTALTL"
Mega Nirman & Industries Ltd,MNIL,Cement,5.8079125,17.35,-10.75539352,"ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,ACC,JKCEMENT,DALBHARAT,RAMCOCEM,RHIM,NUVOCO,BIRLACORPN,INDIACEM,JKLAKSHMI,STARCEMENT,PRSMJOHNSN,ORIENTCEM,HEIDELBERG,SAGCEM,KCP,MANGLMCEM,SANGHIIND,UDAICEMENT,HIL,POKARNA,RAMCOIND,SHIVACEM,SHREDIGCEM,SAURASHCEM,NCLIND,DECCANCE,VISAKAIND,ACL,APCL,SKCIL,NAVKAR,KAKATCEM,PANCM,BVCL,NILACHAL,KEERTHI,BHEEMACEM,BURNPUR,HEMACEM,BINANIIND,SPRL,ORIENTALTL,MNIL"
Solar Industries India Ltd,SOLARINDS,Commodity Chemicals,97004.88651,10719.95,116.0442699,SOLARINDS
Linde India Ltd,LINDEINDIA,Commodity Chemicals,69736.48273,8176.95,160.6498254,"SOLARINDS,LINDEINDIA"
Deepak Nitrite Ltd,DEEPAKNTR,Commodity Chemicals,42130.44643,3088.9,51.95516887,"SOLARINDS,LINDEINDIA,DEEPAKNTR"
Sumitomo Chemical India Ltd,SUMICHEM,Commodity Chemicals,25638.62073,513.65,69.37794813,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM"
Castrol India Ltd,CASTROLIND,Commodity Chemicals,25291.85936,255.7,29.26858153,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND"
Himadri Speciality Chemical Ltd,HSCL,Commodity Chemicals,22097.14012,447.75,53.79574478,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL"
PCBL Ltd,PCBL,Commodity Chemicals,13092.29042,346.85,26.6678014,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL"
Archean Chemical Industries Ltd,ACI,Commodity Chemicals,9698.384779,785.95,30.40531956,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI"
Epigral Ltd,EPIGRAL,Commodity Chemicals,7496.064005,1804.1,38.27256206,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL"
Gulf Oil Lubricants India Ltd,GULFOILLUB,Commodity Chemicals,5923.682895,1204.1,19.23523475,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB"
Garware Hi-Tech Films Ltd,GRWRHITECH,Commodity Chemicals,5827.032901,2508.15,28.6636475,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH"
Rain Industries Ltd,RAIN,Commodity Chemicals,5768.328395,171.5,-6.150193936,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN"
Gujarat Alkalies And Chemicals Ltd,GUJALKALI,Commodity Chemicals,5710.455521,777.6,-24.11102652,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI"
Nocil Ltd,NOCIL,Commodity Chemicals,5404.459735,324.25,40.6350356,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL"
GHCL Ltd,GHCL,Commodity Chemicals,5392.909548,563.2,6.792933049,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL,GHCL"
Styrenix Performance Materials Ltd,STYRENIX,Commodity Chemicals,4573.845206,2600.9,26.41245716,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL,GHCL,STYRENIX"
Tide Water Oil Co India Ltd,TIDEWATER,Commodity Chemicals,4423.422161,2602.8,30.94817156,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL,GHCL,STYRENIX,TIDEWATER"
Savita Oil Technologies Ltd,SOTL,Commodity Chemicals,4318.775938,625,21.51213358,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL,GHCL,STYRENIX,TIDEWATER,SOTL"
Ddev Plastiks Industries Ltd,DDEVPLASTIK,Commodity Chemicals,4258.582107,411.55,23.44259665,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL,GHCL,STYRENIX,TIDEWATER,SOTL,DDEVPLASTIK"
India Glycols Ltd,INDIAGLYCO,Commodity Chemicals,3766.311668,1216.45,21.77184616,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL,GHCL,STYRENIX,TIDEWATER,SOTL,DDEVPLASTIK,INDIAGLYCO"
Polyplex Corp Ltd,POLYPLEX,Commodity Chemicals,3689.869983,1175.4,97.53819676,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL,GHCL,STYRENIX,TIDEWATER,SOTL,DDEVPLASTIK,INDIAGLYCO,POLYPLEX"
Bhansali Engg Polymers Ltd,BEPL,Commodity Chemicals,3644.532147,146.45,20.31851562,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL,GHCL,STYRENIX,TIDEWATER,SOTL,DDEVPLASTIK,INDIAGLYCO,POLYPLEX,BEPL"
Premier Explosives Ltd,PREMEXPLN,Commodity Chemicals,3460.876928,643.75,122.0337422,"SOLARINDS,LINDEINDIA,DEEPAKNTR,SUMICHEM,CASTROLIND,HSCL,PCBL,ACI,EPIGRAL,GULFOILLUB,GRWRHITECH,RAIN,GUJALKALI,NOCIL,GHCL,STYRENIX,TIDEWATER,SOTL,DDEVPLASTIK,INDIAGLYCO,POLYPLEX,BEPL,PREMEXPLN"
